15,14,2,1
15,15,2,5
16,11,2,1
17,9,2,1
17,10,2,3
17,12,2,2
17,13,2,1
18,11,2,1
19,1,2,1
21,14,2,1
22,0,2,22
22,4,2,1
22,11,2,3
23,4,2,1
23,7,2,1
24,8,2,1
28,0,2,1
28,7,2,2
28,11,2,254
29,6,2,1
30,7,2,1
31,4,2,12
31,15,2,1
33,8,2,1
35,8,2,2
36,6,2,1
37,14,2,11
38,13,2,1
39,3,2,2
39,5,2,1
39,14,2,1
43,14,2,2
44,2,2,1
48,5,2,1
49,11,2,1
50,6,2,2
51,10,2,3
52,1,2,1
52,13,2,1
53,0,2,1
55,14,2,5
56,1,2,2
60,12,2,43
62,10,2,3
62,13,2,7
===== 15 =====
0,10,2,1
2,12,2,3
5,4,2,1
6,0,2,1
7,15,2,1
8,9,2,4
9,8,2,1
13,5,2,1
15,13,2,1
15,15,2,7
17,12,2,1
17,13,2,1
18,11,2,2
19,13,2,1
22,0,2,19
23,4,2,10
23,7,2,1
23,11,2,1
24,7,2,1
24,9,2,1
24,14,2,1
27,7,2,1
28,0,2,1
28,11,2,254
31,4,2,16
31,15,2,1
32,0,2,1
35,8,2,2
35,15,2,2
36,6,2,1
37,14,2,13
38,13,2,1
42,4,2,1
49,7,2,2
49,13,2,2
51,0,2,3
51,10,2,1
51,11,2,2
56,11,2,2
56,12,2,1
57,7,2,2
58,10,2,1
60,12,2,46
62,13,2,4
===== 16 =====
0,10,2,1
1,15,2,3
3,4,2,1
4,0,2,1
5,4,2,2
5,13,2,2
6,6,2,1
6,14,2,2
10,1,2,1
10,15,2,3
14,0,2,1
14,15,2,1
15,15,2,5
16,11,2,1
17,12,2,1
18,11,2,1
22,0,2,24
23,4,2,1
23,7,2,1
24,8,2,1
24,14,2,1
28,0,2,2
28,11,2,254
31,4,2,8
32,9,2,2
35,8,2,1
35,15,2,4
36,6,2,1
37,7,2,2
37,14,2,11
38,13,2,1
40,3,2,1
40,9,2,4
41,2,2,1
41,8,2,2
46,8,2,5
49,1,2,1
49,11,2,1
49,12,2,3
50,6,2,1
51,10,2,1
52,13,2,1
54,9,2,1
55,1,2,1
55,11,2,1
58,12,2,1
60,12,2,54
62,13,2,5
===== 17 =====
0,10,2,2
5,10,2,1
6,0,2,1
6,15,2,2
9,0,2,1
12,15,2,4
13,15,2,1
14,0,2,2
15,3,2,1
15,15,2,5
17,12,2,1
17,13,2,1
18,11,2,1
22,0,2,17
22,8,2,10
23,4,2,1
23,7,2,1
24,8,2,1
27,9,2,1
28,11,2,254
29,12,2,8
31,4,2,14
35,8,2,4
35,10,2,1
35,15,2,4
36,3,2,1
36,6,2,2
37,12,2,2
37,14,2,7
38,13,2,1
39,4,2,1
43,4,2,1
43,15,2,1
44,5,2,2
45,4,2,2
46,3,2,1
47,2,2,1
48,10,2,3
50,12,2,1
51,10,2,2
52,1,2,1
54,5,2,1
57,6,2,1
58,5,2,1
60,12,2,48
62,2,2,1
62,13,2,5
===== 18 =====
1,2,2,3
1,9,2,1
2,2,2,1
3,15,2,3
4,7,2,3
5,4,2,2
6,0,2,2
6,10,2,1
9,7,2,2
9,8,2,1
9,12,2,5
10,2,2,2
10,5,2,1
11,0,2,2
11,10,2,2
15,15,2,6
17,13,2,1
18,11,2,5
19,2,2,1
21,1,2,1
22,0,2,23
22,10,2,1
23,4,2,1
23,7,2,2
23,11,2,1
24,6,2,1
24,8,2,2
24,14,2,1
25,1,2,1
25,4,2,1
25,14,2,1
28,11,2,254
29,6,2,1
30,7,2,1
31,4,2,8
31,15,2,1
35,4,2,1
35,8,2,1
35,10,2,1
35,15,2,1
36,1,2,3
36,5,2,1
36,6,2,1
37,14,2,8
38,13,2,1
39,4,2,1
40,3,2,1
44,5,2,1
44,12,2,5
49,0,2,2
49,5,2,1
50,14,2,2
51,9,2,5
51,10,2,2
52,1,2,1
52,5,2,1
53,7,2,4
54,10,2,4
60,12,2,45
61,7,2,5
62,0,2,1
62,13,2,3
===== 19 =====
0,8,2,6
0,10,2,1
2,4,2,2
3,3,2,1
5,15,2,1
6,0,2,1
6,7,2,1
11,1,2,1
12,1,2,2
12,9,2,2
13,13,2,1
14,0,2,1
14,10,2,1
15,2,2,1
15,15,2,7
16,10,2,1
17,12,2,1
17,13,2,1
18,0,2,3
18,11,2,6
22,0,2,20
23,4,2,1
23,7,2,1
24,8,2,1
26,0,2,7
26,10,2,1
27,6,2,4
28,0,2,1
28,11,2,254
29,12,2,4
31,4,2,15
31,6,2,4
31,8,2,1
31,11,2,5
35,4,2,1
35,8,2,3
35,13,2,4
35,15,2,2
36,6,2,2
37,2,2,1
37,14,2,13
39,4,2,1
41,12,2,1
43,3,2,1
44,5,2,2
44,8,2,1
45,8,2,1
45,13,2,1
48,5,2,1
48,13,2,1
50,6,2,1
50,12,2,1
51,1,2,2
51,10,2,1
52,1,2,1
54,5,2,1
56,12,2,1
57,6,2,4
60,12,2,32
62,0,2,1
62,5,2,1
62,13,2,2
===== 20 =====
2,2,2,1
3,1,2,1
6,1,2,1
6,3,2,1
7,5,2,1
10,1,2,7
12,2,2,1
14,0,2,1
14,1,2,1
15,3,2,1
15,4,2,1
15,15,2,8
17,12,2,1
17,13,2,1
18,11,2,2
21,14,2,1
22,0,2,20
23,4,2,2
29,6,2,1
31,1,2,1
31,4,2,10
35,8,2,2
35,15,2,1
37,13,2,1
37,14,2,11
38,11,2,4
38,13,2,1
39,4,2,1
41,2,2,1
41,6,2,1
41,12,2,1
42,9,2,1
43,5,2,7
43,8,2,4
44,5,2,1
44,11,2,3
46,4,2,1
47,0,2,3
48,5,2,1
49,1,2,1
49,13,2,1
52,1,2,1
52,5,2,1
53,10,2,6
57,6,2,2
60,12,2,52
62,0,2,1
62,13,2,2
===== 21 =====
0,10,2,2
2,2,2,1
6,0,2,1
7,13,2,2
8,5,2,4
9,15,2,5
10,13,2,1
12,2,2,1
14,0,2,1
14,15,2,3
15,3,2,1
15,4,2,1
15,15,2,5
16,8,2,2
17,12,2,1
17,13,2,1
18,11,2,4
22,0,2,17
22,4,2,1
23,4,2,1
24,11,2,1
24,12,2,1
28,0,2,1
28,11,2,254
29,2,2,1
29,6,2,1
31,4,2,15
